Lambda,P0_Theory,P0_Experiment,PReject_Theory,PReject_Experiment,Q_Theory,Q_Experiment,A_Theory,A_Experiment,K_Theory,K_Experiment
5 0,6065306597173286 49,44684268585132 1,632261621969256E-10 0, 0,9999999998367738 1 4,999999999183869 5 0,4999999999183869 0,5
6 0,5488116361228362 46,26883590425532 9,144769891052512E-10 0, 0,9999999990855231 1 5,999999994513138 6 0,5999999994513138 0,6
7 0,4965853039210937 40,09435780821917 3,8655494206032716E-09 0, 0,9999999961344506 1 6,999999972941154 7 0,6999999972941153 0,7
8 0,4493289645825497 37,54332151162791 1,3295395227262417E-08 0, 0,9999999867046048 1 7,999999893636838 8 0,7999999893636839 0,8
9 0,4065696611447882 34,6447 3,906582761242018E-08 0, 0,9999999609341724 1 8,999999648407552 9 0,8999999648407552 0,9
10 0,36787944486780905 32,34056946875 1,0137771298164931E-07 0, 0,999999898622287 1 9,99999898622287 10 0,999999898622287 1
11 0,3328710924105322 28,556245770491802 2,3792490248155562E-07 0, 0,9999997620750976 1 10,999997382826074 11 1,0999997382826074 1,1
12 0,30119423065738143 26,93102577557756 5,139206592201429E-07 0, 0,9999994860793407 1 11,99999383295209 12 1,199999383295209 1,2
13 0,2725318303914682 25,1057190625 1,0353512764168674E-06 0, 0,9999989646487236 1 12,999986540433406 13 1,2999986540433408 1,3
14 0,24659703369144867 25,069080314685312 1,9656453896198465E-06 0, 0,9999980343546104 1 13,999972480964546 14 1,3999972480964544 1,4
15 0,22313028326128562 25,051490524475525 3,545749696949053E-06 0, 0,999996454250303 1 14,999946813754546 15 1,4999946813754546 1,5
